time_start,time_end,temperature,precips,clouds
2018-11-03,2018-11-04,"[24, 23, 23, 23, 23, 23, 22, 22.6, 23, 24, 25.7, 27, 28, 27.6, 29, 29, 28.9, 28, 27, 26.1, 25, 24, 24, 23]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[80, 78, 84, 90, 92, 96, 97, 96, 96, 95, 95, 83, 60, 38, 33, 31, 40, 54, 62, 68, 71, 71, 72, 74]"
2018-11-04,2018-11-05,"[24, 23, 23, 23, 23, 23, 23, 23.4, 24, 25, 25.8, 28, 27, 27.1, 29, 29, 28, 28, 27, 26.8, 25, 25, 25, 24]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[73, 77, 80, 77, 75, 92, 97, 96, 96, 94, 87, 78, 66, 57, 60, 64, 70, 70, 65, 68, 73, 75, 75, 75]"
2018-11-05,2018-11-06,"[23, 23, 23, 23, 23, 23, 23, 23.2, 24, 25, 27.3, 28, 28, 29, 30, 30, 29, 29, 27, 26, 25, 24, 24, 23]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[76, 75, 73, 70, 64, 55, 46, 46, 42, 39, 36, 34, 32, 32, 33, 44, 63, 79, 82, 82, 71, 46, 39, 50]"
2018-11-06,2018-11-07,"[23, 23, 23, 23, 23, 23, 23, 23.6, 25, 26, 27, 27, 29, 30, 31, 31, 30, 29, 28, 26, 26, 24, 23, 23]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[70, 83, 84, 82, 79, 72, 60, 49, 39, 34, 31, 30, 28, 27, 27, 29, 32, 36, 40, 47, 51, 54, 60, 60]"
2018-11-07,2018-11-08,"[22, 22, 22, 22, 21, 21, 22, 22.2, 24, 25, 24.9, 27, 27, 28, 29, 30, 30, 29, 28, 26, 25, 24, 23, 23]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[61, 81, 85, 86, 88, 88, 92, 85, 82, 85, 92, 95, 94, 94, 94, 95, 94, 94, 94, 95, 95, 96, 96, 96]"
2018-11-08,2018-11-09,"[23, 23, 23, 23, 23, 23, 23, 24, 24, 25, 25.4, 27, 27, 28.1, 27, 27, 28.2, 28, 26, 25.3, 25, 25, 24, 23]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[96, 95, 96, 96, 87, 77, 71, 54, 52, 57, 63, 75, 82, 78, 76, 72, 66, 75, 92, 97, 98, 98, 98, 98]"
2018-11-09,2018-11-10,"[23, 23, 22, 22, 22, 22, 23, 22.7, 24, 24, 24.9, 26, 28, 29, 28, 28, 27, 27, 26, 25.3, 25, 24, 24, 23]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[98, 97, 97, 97, 97, 91, 86, 82, 88, 86, 70, 61, 43, 22, 36, 84, 96, 96, 97, 97, 97, 97, 97, 97]"
2018-11-10,2018-11-11,"[23, 23, 23, 23, 23, 23, 23, 23.2, 24, 26, 27.1, 28, 29, 30.7, 32, 32, 31, 30, 28, 26, 25, 24, 24, 24]","[0, 0, 0.1, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0.1, 0.1, 0.1, 0.1, 0.1, 0.2, 0.2, 0.2, 0.2, 0.1, 0.1, 0.1]","[97, 97, 97, 97, 97, 96, 96, 95, 95, 93, 93, 94, 94, 91, 86, 89, 92, 92, 89, 85, 75, 64, 60, 60]"
2018-11-11,2018-11-12,"[24, 24, 23, 23, 23, 23, 23, 23.8, 24, 25, 25, 25, 27, 27, 27, 27, 27, 26, 25, 25, 25, 25, 24, 24]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.2, 0.2, 0.2]","[74, 92, 98, 97, 97, 97, 94, 88, 84, 80, 91, 95, 95, 96, 96, 96, 96, 96, 96, 97, 98, 98, 98, 98]"
2018-11-12,2018-11-13,"[24, 23, 23, 23, 23, 23, 23, 23.8, 25, 27, 28.4, 30, 30, 31.6, 32, 32, 32.4, 30, 29, 29, 27, 26, 24, 24]","[0.1, 0.1, 0.1, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[98, 98, 98, 98, 98, 98, 98, 97, 85, 54, 26, 12, 8, 15, 32, 46, 63, 79, 82, 77, 82, 94, 97, 95]"
